Objects (id: bounding-box centroid area mean-color):
  0: 960x960+0+0 477.2,477.1 815369 gray(0)
  2: 279x286+417+336 556.2,478.3 43531 gray(255)
  1: 67x324+309+245 342.0,405.2 21528 gray(255)
  5: 510x147+200+569 474.4,650.2 20931 gray(255)
  3: 140x179+487+390 556.3,479.1 20089 gray(0)
  16: 3x11+885+931 885.8,936.4 17 gray(255)
  29: 5x8+898+934 900.5,937.6 13 gray(255)
  13: 1x12+939+929 939.0,934.5 12 gray(255)
  25: 3x8+923+933 923.4,935.6 11 gray(255)
  26: 3x7+929+933 929.5,935.8 10 gray(255)
  8: 8x3+889+926 892.4,927.1 10 gray(255)
  27: 3x5+934+933 935.3,934.7 7 gray(255)
  24: 2x6+910+933 910.3,935.7 7 gray(255)
  37: 5x2+931+939 933.2,939.7 6 gray(255)
  42: 4x1+892+943 893.5,943.0 4 gray(255)
  12: 4x1+914+929 915.5,929.0 4 gray(255)
  30: 4x1+916+935 917.5,935.0 4 gray(255)
  34: 2x3+943+937 943.5,938.0 4 gray(255)
  38: 4x1+914+940 915.5,940.0 4 gray(255)
  10: 2x2+887+929 887.3,929.3 3 gray(255)
  28: 2x2+943+933 943.7,933.7 3 gray(255)
  11: 2x2+900+929 900.3,929.3 3 gray(255)
  18: 2x2+901+931 901.7,931.7 3 gray(255)
  31: 1x2+942+935 942.0,935.5 2 gray(255)
  22: 2x1+932+932 932.5,932.0 2 gray(255)
  4: 1x2+710+567 710.0,567.5 2 gray(255)
  40: 2x1+890+942 890.5,942.0 2 gray(255)
  19: 1x2+911+931 911.0,931.5 2 gray(255)
  33: 1x2+919+937 919.0,937.5 2 gray(255)
  41: 2x1+896+942 896.5,942.0 2 gray(255)
  21: 1x1+897+932 897.0,932.0 1 gray(255)
  9: 1x1+902+927 902.0,927.0 1 gray(255)
  32: 1x1+920+936 920.0,936.0 1 gray(255)
  17: 1x1+899+931 899.0,931.0 1 gray(255)
  20: 1x1+919+931 919.0,931.0 1 gray(255)
  35: 1x1+912+939 912.0,939.0 1 gray(255)
  36: 1x1+918+939 918.0,939.0 1 gray(255)
  23: 1x1+945+932 945.0,932.0 1 gray(255)
  7: 1x1+198+656 198.0,656.0 1 gray(255)
  6: 1x1+199+655 199.0,655.0 1 gray(255)
  14: 1x1+912+930 912.0,930.0 1 gray(255)
  15: 1x1+918+930 918.0,930.0 1 gray(255)
  39: 1x1+945+940 945.0,940.0 1 gray(255)
